manufacturer,model,year,version,power(kW),odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating,id,month,season,weekend,consumption(kWh/100km)_rolling_mean
0,1,0.6666666666666666,3,0.3464285714285714,0.5333084933226129,27.0,0.046371174122223364,1,1,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,3,1,0.27842888818498573
0,1,0.6666666666666666,3,0.3464285714285714,0.5331761222128527,18.0,0.028047906643464023,1,1,1.0,0.0,1.0,1,1.0,0.0,0.0,0.5454545454545454,2,1,0.1998099461514095
0,1,0.6666666666666666,3,0.3464285714285714,0.533087874806346,44.0,0.09816767325212407,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.5454545454545454,2,1,0.19911308203991127
0,1,0.6666666666666666,3,0.3464285714285714,0.5328721589237738,48.0,0.06274951376804176,1,1,1.0,0.0,1.0,2,0.0,0.0,0.0,0.5454545454545454,2,0,0.20810896420652517
0,1,0.6666666666666666,3,0.3464285714285714,0.5326368325064225,17.0,0.17391749411403418,1,1,1.0,0.0,1.0,2,0.0,0.0,0.0,0.5454545454545454,2,0,0.20810896420652517
0,1,0.6666666666666666,3,0.3464285714285714,0.5325534877336104,129.0,0.07155287132766916,1,1,1.0,1.0,1.0,2,0.0,0.0,0.0,0.5454545454545454,2,0,0.20810896420652517
0,1,0.6666666666666666,3,0.3464285714285714,0.5319210479869786,49.0,0.07022213123144641,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.5454545454545454,2,1,0.19113082039911303
0,1,0.6666666666666666,3,0.3464285714285714,0.5316808189359323,52.0,0.07513563312519193,1,1,1.0,0.0,1.0,2,0.0,0.0,0.0,0.5454545454545454,2,1,0.1748495407031992
0,1,0.6666666666666666,3,0.3464285714285714,0.5314258819838017,38.0,0.0541508854539871,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.5454545454545454,2,0,0.17440608172315483
0,1,0.6666666666666666,3,0.3464285714285714,0.5312395819033985,44.0,0.07769474869485106,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.5454545454545454,2,0,0.19429838454228693
0,1,0.6666666666666666,3,0.3464285714285714,0.5310238660208264,93.0,0.15856280069607945,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.5454545454545454,2,0,0.21152993348115295
0,1,0.6666666666666666,3,0.3464285714285714,0.5305679210872081,51.0,0.09519909919131948,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.5454545454545454,2,0,0.21773835920177384
0,1,0.6666666666666666,3,0.3464285714285714,0.5303178867687722,20.0,0.03633944108915959,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.5454545454545454,2,0,0.2248970541653468
0,1,0.6666666666666666,3,0.3464285714285714,0.5302198340948757,22.0,0.049032654314668855,1,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.5454545454545454,2,0,0.24751346214760844
0,1,0.6666666666666666,3,0.3464285714285714,0.5301119761535897,117.0,0.22059576210461662,1,1,1.0,1.0,1.0,0,1.0,0.0,0.0,0.8181818181818182,0,0,0.2515045929680076
0,1,0.6666666666666666,3,0.3464285714285714,0.5295383680112956,43.0,0.07421435152011464,1,1,1.0,0.0,1.0,1,1.0,0.0,0.0,0.7272727272727273,0,0,0.22020905923344947
0,1,0.6666666666666666,3,0.3464285714285714,0.5293275547624183,73.0,0.10758521854846965,1,1,1.0,0.0,1.0,1,1.0,0.0,0.0,0.5454545454545454,2,0,0.1947418435223313
0,1,0.6666666666666666,3,0.3464285714285714,0.5289794677700861,32.0,0.07360016378339647,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.36363636363636365,1,1,0.20259740259740255
0,1,0.6666666666666666,3,0.3464285714285714,0.5288225834918518,37.0,0.0541508854539871,1,1,1.0,0.0,1.0,2,1.0,0.0,0.0,0.36363636363636365,1,1,0.22610072853975294
0,1,0.6666666666666666,3,0.3464285714285714,0.5286411860451434,11.0,0.026921895792814007,1,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.2727272727272727,1,0,0.263351282863478
